hh_id,onset_day,listing_day,event_day,event_type,report_domain
H00000,19,19,27,0,D03
H00001,17,17,79,1,D02
H00002,16,16,32,0,D04
H00003,9,9,77,0,D02
H00004,8,8,90,0,D03
H00005,3,3,113,1,D07
H00006,16,16,97,0,D08
H00007,1,1,112,1,D01
H00008,9,9,56,0,D04
H00009,3,3,86,0,D04
H00010,18,18,86,0,D08
H00011,1,1,105,0,D02
H00012,8,8,69,0,D03
H00013,4,4,40,0,D01
H00014,17,17,85,0,D01
H00015,3,3,90,0,D04
H00016,13,13,19,0,D04
H00017,17,17,58,0,D01
H00018,15,15,36,0,D03
H00019,11,11,110,1,D03
H00020,13,13,83,0,D04
H00021,18,18,55,0,D01
H00022,14,14,125,1,D06
H00023,2,2,11,1,D05
H00024,5,5,22,0,D05
H00025,18,18,23,0,D08
H00026,10,10,119,0,D08
H00027,0,0,100,0,D02
H00028,4,4,12,1,D07
H00029,3,3,48,0,D04
H00030,18,18,111,1,D04
H00031,17,17,127,0,D04
H00032,11,11,121,1,D02
H00033,15,15,94,0,D01
H00034,2,2,60,1,D07
H00035,10,10,36,0,D03
H00036,3,3,49,0,D03
H00037,8,8,30,0,D08
H00038,5,5,35,0,D05
H00039,13,13,33,1,D04
H00040,17,17,22,0,D03
H00041,2,2,34,0,D01
H00042,19,19,118,1,D05
H00043,13,13,87,1,D07
H00044,8,8,103,1,D05
H00045,7,7,40,0,D08
H00046,19,19,72,0,D04
H00047,8,8,16,0,D07
H00048,9,9,74,0,D07
H00049,1,1,117,1,D07
H00050,3,3,39,0,D03
H00051,14,14,70,0,D01
H00052,4,4,62,1,D02
H00053,10,10,110,0,D02
H00054,3,3,29,0,D07
H00055,11,11,35,0,D07
H00056,12,12,99,1,D06
H00057,18,18,68,1,D05
H00058,12,12,62,1,D02
H00059,15,15,57,0,D02
H00060,17,17,38,1,D05
H00061,1,1,88,1,D02
H00062,3,3,16,1,D03
H00063,9,9,33,0,D01
H00064,17,17,24,1,D07
H00065,14,14,27,0,D08
H00066,10,10,73,1,D04
H00067,1,1,12,1,D06
H00068,0,0,60,0,D03
H00069,18,18,55,1,D05
H00070,13,13,79,1,D08
H00071,4,4,12,0,D05
H00072,14,14,24,0,D06
H00073,6,6,103,0,D08
H00074,3,3,10,0,D04
H00075,17,17,86,1,D07
H00076,19,19,134,1,D06
H00077,16,16,43,0,D01
H00078,5,5,68,0,D02
H00079,12,12,102,0,D05
H00080,13,13,132,0,D02
H00081,5,5,105,0,D07
H00082,8,8,69,1,D04
H00083,3,3,81,0,D03
H00084,1,1,87,0,D06
H00085,3,3,29,0,D04
H00086,4,4,54,0,D05
H00087,7,7,68,1,D07
H00088,5,5,56,1,D02
H00089,12,12,28,0,D03
H00090,8,8,127,1,D05
H00091,6,6,34,0,D03
H00092,12,12,112,0,D01
H00093,4,4,29,1,D07
H00094,18,18,42,0,D03
H00095,17,17,126,1,D03
H00096,5,5,37,0,D02
H00097,15,15,63,1,D05
H00098,18,18,35,0,D08
H00099,8,8,17,0,D07
H00100,16,16,90,1,D02
H00101,16,16,90,0,D07
H00102,12,12,115,1,D01
H00103,2,2,115,0,D07
H00104,6,6,20,0,D06
H00105,6,6,61,1,D07
H00106,16,16,115,0,D06
H00107,2,2,42,0,D03
H00108,0,0,22,0,D04
H00109,13,13,18,0,D08
H00110,12,12,28,0,D01
H00111,18,18,81,1,D05
H00112,0,0,83,0,D04
H00113,2,2,41,0,D03
H00114,14,14,84,1,D08
H00115,14,14,131,0,D02
H00116,13,13,49,0,D04
H00117,19,19,62,0,D03
H00118,13,13,30,0,D03
H00119,9,9,125,1,D02
H00120,6,6,53,0,D01
H00121,15,15,83,1,D01
H00122,8,8,94,0,D08
H00123,11,11,53,0,D01
H00124,17,17,59,1,D03
H00125,5,5,97,0,D04
H00126,4,4,77,0,D03
H00127,11,11,76,0,D05
H00128,14,14,132,0,D04
H00129,10,10,36,0,D07
H00130,14,14,94,1,D01
H00131,12,12,31,1,D04
H00132,12,12,56,0,D05
H00133,2,2,40,0,D04
H00134,8,8,67,0,D01
H00135,13,13,45,0,D05
H00136,12,12,124,0,D08
H00137,16,16,84,0,D08
H00138,6,6,82,1,D05
H00139,8,8,98,0,D07
H00140,8,8,70,0,D02
H00141,9,9,21,0,D05
H00142,5,5,73,0,D04
H00143,2,2,44,0,D01
H00144,7,7,126,1,D05
H00145,13,13,21,0,D01
H00146,12,12,131,1,D07
H00147,10,10,18,1,D02
H00148,16,16,106,1,D03
H00149,0,0,87,1,D03
H00150,16,16,127,0,D06
H00151,5,5,81,0,D06
H00152,6,6,84,0,D08
H00153,2,2,110,0,D08
H00154,10,10,18,1,D04
H00155,18,18,87,1,D07
H00156,10,10,89,0,D04
H00157,18,18,88,1,D03
H00158,3,3,96,0,D07
H00159,9,9,61,0,D07
H00160,18,18,113,1,D04
H00161,6,6,44,0,D07
H00162,12,12,31,1,D01
H00163,0,0,96,0,D07
H00164,13,13,104,0,D06
H00165,0,0,40,1,D07
H00166,16,16,36,0,D02
H00167,9,9,17,0,D06
H00168,10,10,108,0,D03
H00169,19,19,42,0,D03
H00170,10,10,101,1,D08
H00171,13,13,28,0,D03
H00172,19,19,104,0,D03
H00173,8,8,122,0,D04
H00174,7,7,77,0,D04
H00175,10,10,18,0,D04
H00176,18,18,107,0,D08
H00177,16,16,64,1,D05
H00178,15,15,72,1,D04
H00179,6,6,67,1,D01
H00180,11,11,129,1,D08
H00181,17,17,102,1,D03
H00182,9,9,27,1,D07
H00183,13,13,129,0,D08
H00184,8,8,59,0,D02
H00185,12,12,78,0,D03
H00186,18,18,39,0,D06
