hh_id,onset_day,listing_day,event_day,event_type,report_domain
H00000,17,17,126,0,D05
H00001,5,5,111,2,D07
H00002,8,8,80,2,D04
H00003,7,7,14,1,D05
H00004,15,15,21,0,D05
H00005,18,18,25,0,D07
H00006,16,16,42,1,D08
H00007,8,8,93,0,D02
H00008,9,9,70,0,D04
H00009,16,16,51,2,D03
H00010,1,1,79,0,D02
H00011,15,15,90,0,D01
H00012,2,2,43,1,D08
H00013,0,0,64,0,D02
H00014,1,1,115,1,D06
H00015,15,15,36,0,D05
H00016,12,12,26,0,D01
H00017,4,4,63,0,D08
H00018,4,4,104,1,D08
H00019,14,14,56,0,D04
H00020,12,12,125,0,D04
H00021,5,5,56,1,D04
H00022,5,5,43,2,D02
H00023,1,1,52,0,D08
H00024,1,1,95,1,D07
H00025,0,0,60,2,D03
H00026,0,0,63,0,D05
H00027,3,3,120,2,D08
H00028,2,2,109,1,D01
H00029,17,17,34,1,D04
H00030,6,6,52,0,D03
H00031,2,2,25,1,D08
H00032,4,4,15,0,D05
H00033,12,12,50,1,D04
H00034,9,9,27,1,D05
H00035,8,8,79,0,D07
H00036,14,14,125,2,D04
H00037,8,8,124,1,D01
H00038,6,6,70,2,D06
H00039,0,0,82,0,D03
H00040,4,4,16,0,D05
H00041,4,4,106,0,D01
H00042,4,4,122,1,D03
H00043,16,16,73,1,D05
H00044,6,6,61,1,D08
H00045,4,4,51,1,D05
H00046,17,17,84,1,D01
H00047,11,11,34,2,D06
H00048,7,7,17,1,D01
H00049,0,0,18,2,D03
H00050,1,1,7,1,D06
H00051,1,1,41,1,D01
H00052,1,1,84,0,D04
H00053,9,9,23,0,D02
H00054,14,14,23,0,D01
H00055,19,19,73,2,D07
H00056,1,1,8,0,D03
H00057,0,0,53,1,D01
H00058,9,9,105,0,D02
H00059,8,8,83,0,D02
H00060,15,15,96,0,D02
H00061,7,7,90,2,D04
H00062,10,10,88,0,D01
H00063,9,9,119,0,D01
H00064,12,12,40,1,D02
H00065,0,0,103,1,D07
H00066,3,3,85,1,D05
H00067,12,12,33,1,D02
H00068,11,11,42,0,D05
H00069,17,17,117,2,D06
H00070,2,2,109,0,D04
H00071,19,19,90,1,D05
H00072,9,9,49,2,D04
H00073,4,4,61,2,D03
H00074,6,6,87,0,D01
H00075,16,16,62,2,D02
H00076,18,18,116,0,D07
H00077,3,3,86,2,D08
H00078,18,18,84,1,D04
H00079,7,7,15,1,D02
H00080,13,13,96,0,D05
H00081,16,16,72,2,D02
H00082,8,8,108,0,D04
H00083,17,17,114,0,D03
H00084,9,9,66,2,D07
H00085,14,14,101,2,D08
H00086,11,11,98,2,D01
H00087,8,8,91,1,D08
H00088,11,11,88,1,D05
H00089,12,12,94,1,D02
H00090,16,16,101,2,D01
