hh_id,onset_day,listing_day,event_day,event_type,report_domain
H00000,6,6,86,0,D06
H00001,2,2,49,1,D05
H00002,10,10,127,2,D02
H00003,12,12,31,2,D09
H00004,18,18,46,2,D09
H00005,11,11,127,0,D05
H00006,0,0,71,1,D09
H00007,9,9,49,0,D05
H00008,3,3,39,1,D09
H00009,19,19,69,0,D06
H00010,17,17,70,1,D04
H00011,9,9,103,0,D04
H00012,2,2,39,1,D04
H00013,7,7,34,2,D01
H00014,14,14,124,0,D01
H00015,13,13,109,2,D02
H00016,3,3,55,0,D07
H00017,7,7,21,0,D03
H00018,5,5,118,1,D06
H00019,5,5,58,2,D06
H00020,4,4,104,2,D08
H00021,1,1,64,1,D07
H00022,2,2,108,2,D02
H00023,11,11,122,0,D09
H00024,16,16,59,0,D03
H00025,18,18,108,0,D08
H00026,17,17,82,1,D09
H00027,18,18,110,0,D07
H00028,16,16,47,1,D08
H00029,16,16,78,2,D04
H00030,0,0,44,2,D06
H00031,3,3,105,0,D03
H00032,12,12,29,0,D06
H00033,17,17,71,2,D09
H00034,8,8,56,0,D06
H00035,18,18,122,1,D06
H00036,16,16,98,0,D09
H00037,14,14,70,0,D03
H00038,12,12,91,2,D05
H00039,6,6,84,0,D05
H00040,6,6,41,0,D01
H00041,7,7,73,0,D01
H00042,1,1,103,0,D04
H00043,19,19,62,0,D01
H00044,1,1,48,0,D07
H00045,0,0,64,0,D02
H00046,11,11,27,2,D07
H00047,0,0,27,2,D07
H00048,4,4,38,2,D04
H00049,11,11,104,2,D04
H00050,3,3,86,2,D02
H00051,2,2,73,0,D03
H00052,14,14,68,1,D01
H00053,11,11,21,1,D02
H00054,11,11,61,0,D01
H00055,7,7,98,0,D07
H00056,7,7,94,0,D01
H00057,13,13,20,2,D07
H00058,10,10,59,2,D04
H00059,15,15,30,0,D03
H00060,10,10,107,0,D04
H00061,1,1,98,2,D08
H00062,2,2,66,2,D09
H00063,12,12,49,2,D04
H00064,18,18,29,1,D02
H00065,19,19,83,2,D07
H00066,1,1,14,2,D02
H00067,2,2,51,2,D01
H00068,10,10,27,0,D06
H00069,2,2,100,2,D08
H00070,1,1,21,2,D01
H00071,11,11,111,0,D03
H00072,8,8,65,0,D05
H00073,12,12,113,0,D04
H00074,3,3,46,2,D04
H00075,4,4,72,1,D02
H00076,16,16,48,2,D07
H00077,6,6,17,0,D02
H00078,15,15,50,2,D01
H00079,5,5,13,1,D09
H00080,19,19,118,0,D03
H00081,19,19,107,2,D03
H00082,2,2,106,0,D09
H00083,7,7,18,0,D04
H00084,8,8,96,0,D04
H00085,4,4,91,2,D08
H00086,14,14,71,0,D01
H00087,0,0,107,2,D08
H00088,2,2,37,2,D04
H00089,11,11,44,0,D08
H00090,0,0,47,0,D01
H00091,12,12,76,0,D04
H00092,10,10,35,0,D09
H00093,14,14,87,1,D09
H00094,11,11,24,1,D04
H00095,7,7,105,0,D02
H00096,9,9,117,0,D03
H00097,3,3,86,0,D05
H00098,4,4,97,1,D03
H00099,4,4,85,1,D07
H00100,14,14,118,2,D06
H00101,8,8,71,0,D06
H00102,15,15,79,0,D02
H00103,1,1,55,2,D02
H00104,17,17,22,0,D02
H00105,13,13,73,1,D06
H00106,10,10,43,0,D01
H00107,8,8,22,2,D03
H00108,15,15,104,0,D04
H00109,2,2,78,2,D06
H00110,2,2,30,0,D04
H00111,4,4,20,1,D01
H00112,9,9,86,0,D09
H00113,3,3,100,0,D06
H00114,11,11,53,0,D06
H00115,11,11,118,0,D02
H00116,14,14,69,2,D09
H00117,11,11,52,2,D02
H00118,15,15,59,1,D07
H00119,17,17,45,2,D09
H00120,12,12,48,0,D02
H00121,15,15,120,2,D09
H00122,14,14,51,2,D09
H00123,6,6,53,2,D03
H00124,10,10,37,0,D01
H00125,18,18,79,0,D06
H00126,15,15,22,0,D09
H00127,19,19,47,2,D09
H00128,16,16,81,2,D09
H00129,5,5,16,0,D09
H00130,5,5,72,0,D07
H00131,12,12,85,0,D07
H00132,5,5,30,0,D04
H00133,19,19,117,2,D01
H00134,0,0,13,0,D06
H00135,13,13,130,2,D03
H00136,18,18,32,1,D07
H00137,8,8,105,1,D03
H00138,4,4,108,1,D09
H00139,5,5,120,2,D09
H00140,10,10,30,0,D02
H00141,11,11,65,2,D03
H00142,14,14,131,1,D05
H00143,5,5,92,0,D06
H00144,1,1,33,1,D09
H00145,10,10,50,1,D07
H00146,7,7,126,0,D06
H00147,16,16,62,0,D08
H00148,5,5,94,2,D05
H00149,14,14,114,2,D01
H00150,10,10,67,0,D09
H00151,4,4,62,1,D02
H00152,14,14,36,2,D01
H00153,9,9,98,1,D03
H00154,0,0,31,2,D06
H00155,2,2,63,0,D01
H00156,12,12,93,0,D06
H00157,3,3,103,0,D02
H00158,9,9,33,1,D03
H00159,10,10,43,2,D08
H00160,1,1,98,0,D05
H00161,2,2,39,0,D02
H00162,19,19,56,1,D08
H00163,9,9,102,2,D05
H00164,6,6,102,0,D09
H00165,13,13,85,2,D03
H00166,15,15,89,0,D09
H00167,13,13,94,2,D08
H00168,9,9,48,2,D01
H00169,19,19,65,1,D08
H00170,14,14,66,2,D06
H00171,0,0,63,0,D07
H00172,5,5,47,0,D02
H00173,2,2,105,1,D02
H00174,14,14,69,0,D02
H00175,3,3,120,2,D07
H00176,9,9,82,1,D01
H00177,12,12,107,0,D05
H00178,16,16,33,1,D01
H00179,11,11,117,2,D04
H00180,19,19,38,2,D09
H00181,0,0,62,0,D03
H00182,2,2,119,0,D02
H00183,5,5,91,2,D05
H00184,13,13,125,0,D06
H00185,7,7,114,1,D05
H00186,17,17,89,0,D09
H00187,5,5,21,2,D04
H00188,16,16,25,0,D02
H00189,7,7,73,0,D03
H00190,0,0,28,0,D02
H00191,17,17,111,2,D08
H00192,11,11,67,0,D09
H00193,13,13,69,1,D05
H00194,1,1,39,0,D07
H00195,13,13,45,0,D02
H00196,7,7,52,2,D03
H00197,9,9,43,1,D08
H00198,6,6,35,2,D08
H00199,15,15,92,0,D06
H00200,1,1,31,0,D06
H00201,11,11,17,0,D07
H00202,12,12,114,1,D06
H00203,4,4,118,0,D01
H00204,16,16,69,0,D05
H00205,13,13,59,0,D03
H00206,10,10,37,1,D07
H00207,17,17,130,1,D08
H00208,3,3,88,2,D06
H00209,7,7,113,0,D09
H00210,5,5,42,0,D02
H00211,13,13,43,1,D02
H00212,13,13,86,0,D06
H00213,10,10,69,0,D03
H00214,3,3,64,0,D08
H00215,11,11,55,1,D07
H00216,16,16,112,0,D08
H00217,6,6,65,1,D06
H00218,0,0,5,1,D05
H00219,5,5,66,1,D09
