hh_id,onset_day,listing_day,event_day,event_type,report_domain
H00000,19,19,94,1,D03
H00001,15,15,126,1,D09
H00002,18,18,23,1,D07
H00003,9,9,106,1,D05
H00004,14,14,125,0,D08
H00005,9,9,103,1,D04
H00006,1,1,76,1,D05
H00007,15,15,64,2,D08
H00008,6,6,29,0,D05
H00009,15,15,105,1,D08
H00010,17,17,125,1,D09
H00011,17,17,24,0,D07
H00012,15,15,134,0,D07
H00013,1,1,62,1,D02
H00014,18,18,100,0,D02
H00015,19,19,36,1,D01
H00016,4,4,62,1,D04
H00017,12,12,104,0,D08
H00018,6,6,23,0,D09
H00019,17,17,45,1,D02
H00020,6,6,74,2,D06
H00021,4,4,30,1,D03
H00022,4,4,80,0,D03
H00023,16,16,109,2,D05
H00024,17,17,52,0,D04
H00025,6,6,124,1,D04
H00026,4,4,37,1,D03
H00027,6,6,95,1,D04
H00028,3,3,44,1,D08
H00029,0,0,7,1,D03
H00030,9,9,108,0,D08
H00031,4,4,89,0,D05
H00032,4,4,99,2,D10
H00033,5,5,96,0,D04
H00034,4,4,119,0,D04
H00035,18,18,25,1,D07
H00036,12,12,62,2,D10
H00037,2,2,27,1,D08
H00038,3,3,94,0,D10
H00039,1,1,42,1,D04
H00040,19,19,34,0,D07
H00041,16,16,31,0,D01
H00042,7,7,89,1,D10
H00043,11,11,87,0,D05
H00044,14,14,118,0,D01
H00045,3,3,109,2,D05
H00046,19,19,24,1,D09
H00047,19,19,81,0,D08
H00048,2,2,96,0,D08
H00049,15,15,84,0,D10
H00050,15,15,35,2,D08
H00051,8,8,108,1,D07
H00052,4,4,34,0,D04
H00053,3,3,66,0,D03
H00054,19,19,124,1,D10
H00055,8,8,125,0,D04
H00056,2,2,116,0,D07
H00057,4,4,121,0,D04
H00058,16,16,97,0,D09
H00059,17,17,32,0,D04
H00060,12,12,42,1,D08
H00061,6,6,112,0,D03
H00062,2,2,24,1,D10
H00063,15,15,91,1,D01
H00064,18,18,108,0,D05
H00065,10,10,101,0,D05
H00066,4,4,107,0,D01
H00067,2,2,9,1,D02
H00068,0,0,98,0,D08
H00069,6,6,61,1,D09
H00070,17,17,128,1,D10
H00071,11,11,76,0,D10
H00072,10,10,64,1,D09
